TeamNames
Baseball
Field Hockey
Football
Men's Basketball
Men's Cross Country
Men's Golf
Men's Ice Hockey
Men's Lacrosse
"Men's Skiing, Alpine"
"Men's Skiing, Nordic"
Men's Soccer
Men's Squash
Men's Swimming and Diving
Men's Tennis
"Men's Track, Indoor"
"Men's Track, Outdoor"
Softball
Women's Basketball
Women's Cross Country
Women's Ice Hockey
Women's Lacrosse
Women's Rowing
"Women's Skiing, Alpine"
"Women's Skiing, Nordic"
Women's Soccer
Women's Squash
Women's Swimming and Diving
Women's Tennis
"Women's Track, Indoor"
"Women's Track, Outdoor"
Women's Volleyball
